Municipio,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Armenia,49.18,47.75,60.15,57.12,65.98,60.82,64.25,59.79,52.52,51.36,63.11,54.34,54.37,45.76,49.79,40.59,32.92,35.19,44.8,38.98,31.5,36.15,27.39,30.99,31.51,40.78,35.88,28.69
Buenavista,140.98,70.34,93.79,70.89,71.82,73.19,49.93,154.04,105.79,164.29,198.13,321.92,30.16,0,63.39,0,65.23,131.8,0,67,101.32,34.05,34.35,34.65,0,0,35.65,0
Calarca,89.03,135.51,134.36,96.02,67.43,77.8,44.19,49.52,43.63,26.61,84.99,97.03,67.55,56.22,39.55,33.91,60.74,68.48,53.44,42.53,31.73,36.83,28.79,63.79,38.86,46.39,46.16,54.86
Circasia,73.82,102.61,86.36,41.9,44.97,36.08,63.26,70.39,58.14,65.33,76.18,71.76,44.93,40.82,36.77,51.01,50.55,53.7,46.13,42.23,45.35,31.14,68.61,88.46,50.6,36.79,43.13,29.61
Córdoba,118.66,83.78,149.33,132.21,148.61,115.95,116.69,151.34,136.12,154.93,139.62,247.52,143.34,18.1,73.05,128.46,18.45,129.51,55.65,37.16,18.63,0,18.71,0,18.81,0,18.88,18.92
Filandia,167.93,180.85,185.3,55.49,117.52,101.15,93.22,124.38,62.3,31.21,23.41,62.44,85.75,38.9,46.56,116.01,46.25,76.79,0,45.75,7.6,22.71,45.27,22.54,0,14.91,14.85,22.19
Génova,104.17,300.3,278.91,101.43,137.73,110.19,92.34,167.47,187.97,133.02,105.76,175.34,227.23,120.35,91.78,135.02,95.38,54.05,44.12,33.75,57.38,70.26,47.73,24.32,74.31,50.5,102.93,117.94
La Tebaida,152.86,130.03,194.73,141.87,80.59,70.2,64.42,77.4,53.81,52.36,71.32,62.81,70.82,50.19,67.31,86.56,61.24,59.84,52.92,40.84,42.58,28.61,30.5,42.24,53.41,56.92,39.39,38.47
Montenegro,132.95,137.9,236.58,138.75,108.59,82.72,92.38,102.09,46.81,43.95,84.81,71.55,50.85,73.38,50.38,107.85,69.97,64.74,57.06,54.39,115.79,78.56,58.72,90.22,68.04,70.23,118.25,26.46
Pijao,157.73,47.83,284.16,188.72,213.12,107.76,220.21,238.3,141.7,66.16,257.94,153.03,156.58,29.06,133,29.93,90.48,167.5,92.12,77.45,62.51,31.45,63.49,80.09,80.61,130.31,16.4,0
Quimbaya,128.32,163.89,226.01,176.64,189.46,140.17,112.93,109.83,89.06,50.45,142.33,148.11,115.33,129.88,105.99,99.82,99.52,110.94,116.44,78.42,72.42,26.01,46.13,40.26,86.05,94.43,51.38,45.56
Salento,160.8,214.13,195.83,137.48,217.16,94.42,121.21,242.95,189.62,81.59,109.17,164.18,219.33,82.37,55.09,82.8,179.68,180.38,152.91,41.79,69.76,69.84,28.02,42.08,0,42.16,84.4,84.47
Quindío,82,93.2,118.1,85.6,86.1,73.5,72,77.4,61.3,51.9,79.1,78.3,68.9,55.6,54.6,56.5,50.6,55.7,52.8,44.1,42.8,38.2,34.5,44.4,40.9,47.94,45.56,35.16
